TagID_Hex,DetectDateTime,RecSN,FracSec,nPRI,SigStr,Thresh
2D9F,2020-04-04 01:17:57,17126,,5,,
2D9F,2020-04-04 01:18:12,17126,,5,,
2D9F,2020-04-04 01:18:17,17126,,5,,
2D9F,2020-04-04 02:58:27,17126,,5,,
2D9F,2020-04-04 02:58:32,17126,,5,,
2D9F,2020-04-04 02:58:42,17126,,5,,
2D9F,2020-04-04 02:58:53,17126,,5,,
2D9F,2020-04-04 02:58:58,17126,,5,,
2D9F,2020-04-04 02:59:13,17126,,5,,
2D9F,2020-04-04 02:59:33,17126,,5,,
2D9F,2020-04-04 03:00:23,17126,,5,,
2D9F,2020-04-04 03:00:43,17126,,5,,
2D9F,2020-04-04 03:00:54,17126,,5,,
2D9F,2020-04-04 03:01:04,17126,,5,,
2D9F,2020-04-04 03:01:24,17126,,5,,
2D9F,2020-04-04 03:01:29,17126,,5,,
2D9F,2020-04-04 03:01:34,17126,,5,,
2D9F,2020-04-04 03:01:49,17126,,5,,
2D9F,2020-04-04 03:01:54,17126,,5,,
2D9F,2020-04-04 03:01:59,17126,,5,,
2D9F,2020-04-04 03:02:04,17126,,5,,
2D9F,2020-04-04 03:02:09,17126,,5,,
2D9F,2020-04-04 03:02:14,17126,,5,,
2D9F,2020-04-04 17:06:52,17127,,5,,
2D9F,2020-04-04 17:06:57,17127,,5,,
2D9F,2020-04-04 17:07:02,17127,,5,,
2D9F,2020-04-04 17:07:12,17127,,5,,
2D9F,2020-04-04 17:07:17,17127,,5,,
2D9F,2020-04-04 17:07:37,17127,,5,,
2D9F,2020-04-04 17:08:23,17127,,5,,
2D9F,2020-04-04 17:08:38,17127,,5,,
2D9F,2020-04-04 17:08:48,17127,,5,,
2D9F,2020-04-04 17:09:03,17127,,5,,
2D9F,2020-04-04 17:09:08,17127,,5,,
2D9F,2020-04-04 17:09:23,17127,,5,,
2D9F,2020-04-04 17:09:28,17127,,5,,
2D9F,2020-04-04 17:09:33,17127,,5,,
2D9F,2020-04-04 17:09:38,17127,,5,,
2D9F,2020-04-04 17:09:43,17127,,5,,
2D9F,2020-04-04 17:09:48,17127,,5,,
2D9F,2020-04-04 17:09:58,17127,,5,,
2D9F,2020-04-04 17:10:04,17127,,5,,
2D9F,2020-04-04 17:10:09,17127,,5,,
2D9F,2020-04-04 17:10:14,17127,,5,,
2D9F,2020-04-04 17:10:19,17127,,5,,
2D9F,2020-04-04 17:10:29,17127,,5,,
2D9F,2020-04-04 17:10:44,17127,,5,,
2D9F,2020-04-04 17:10:54,17127,,5,,
2D9F,2020-04-04 17:11:09,17127,,5,,
2D9F,2020-04-04 17:11:14,17127,,5,,
2D9F,2020-04-04 17:11:24,17127,,5,,
2D9F,2020-04-04 17:11:34,17127,,5,,
2D9F,2020-04-04 17:11:39,17127,,5,,
2D9F,2020-04-04 17:11:44,17127,,5,,
2D9F,2020-04-04 17:11:54,17127,,5,,
2D9F,2020-04-04 17:12:00,17127,,5,,
2D9F,2020-04-04 17:12:05,17127,,5,,
2D9F,2020-04-04 17:12:10,17127,,5,,
2D9F,2020-04-04 17:12:15,17127,,5,,
2D9F,2020-04-04 17:12:20,17127,,5,,
2D9F,2020-04-04 17:12:35,17127,,5,,
2D9F,2020-04-04 17:12:45,17127,,5,,
2D9F,2020-04-04 17:12:55,17127,,5,,
2D9F,2020-04-04 17:13:00,17127,,5,,
2D9F,2020-04-04 17:13:05,17127,,5,,
2D9F,2020-04-04 17:13:20,17127,,5,,
2D9F,2020-04-04 17:13:35,17127,,5,,
2D9F,2020-04-04 17:13:50,17127,,5,,
2D9F,2020-04-04 17:13:55,17127,,5,,
2D9F,2020-04-04 17:15:01,17127,,5,,
2D9F,2020-04-04 21:08:36,17127,,5,,
2D9F,2020-04-04 21:09:22,17127,,5,,
2D9F,2020-04-04 21:09:37,17127,,5,,
2D9F,2020-04-04 21:10:07,17127,,5,,
2D9F,2020-04-04 21:10:32,17127,,5,,
2D9F,2020-04-04 21:10:37,17127,,5,,
2D9F,2020-04-04 21:10:42,17127,,5,,
2D9F,2020-04-04 21:10:47,17127,,5,,
2D9F,2020-04-04 21:10:52,17127,,5,,
2D9F,2020-04-04 21:10:57,17127,,5,,
2D9F,2020-04-04 21:11:02,17127,,5,,
2D9F,2020-04-04 21:11:07,17127,,5,,
2D9F,2020-04-04 21:11:13,17127,,5,,
2D9F,2020-04-04 21:11:23,17127,,5,,
2D9F,2020-04-04 21:11:28,17127,,5,,
2D9F,2020-04-04 21:11:43,17127,,5,,
2D9F,2020-04-03 14:26:55,17130,,5,,
2D9F,2020-04-03 14:27:10,17130,,5,,
2D9F,2020-04-03 14:27:36,17130,,5,,
2D9F,2020-04-03 14:27:51,17130,,5,,
2D9F,2020-04-03 14:28:01,17130,,5,,
2D9F,2020-04-03 14:28:11,17130,,5,,
2D9F,2020-04-03 14:28:26,17130,,5,,
2D9F,2020-04-03 14:28:31,17130,,5,,
2D9F,2020-04-03 14:28:36,17130,,5,,
2D9F,2020-04-03 14:28:46,17130,,5,,
2D9F,2020-04-03 14:28:51,17130,,5,,
2D9F,2020-04-03 14:28:56,17130,,5,,
2D9F,2020-04-03 14:29:01,17130,,5,,
2D9F,2020-04-03 14:29:06,17130,,5,,
2D9F,2020-04-03 14:29:11,17130,,5,,
2D9F,2020-04-03 14:29:16,17130,,5,,
2D9F,2020-04-03 14:29:22,17130,,5,,
2D9F,2020-04-03 14:29:27,17130,,5,,
2D9F,2020-04-03 14:29:32,17130,,5,,
2D9F,2020-04-03 14:29:37,17130,,5,,
2D9F,2020-04-03 14:29:52,17130,,5,,
2D9F,2020-04-03 14:30:02,17130,,5,,
2D9F,2020-04-03 14:30:32,17130,,5,,
2D9F,2020-04-03 14:30:37,17130,,5,,
2D9F,2020-04-03 14:30:47,17130,,5,,
2D9F,2020-04-03 14:30:52,17130,,5,,
2D9F,2020-04-03 14:30:57,17130,,5,,
2D9F,2020-04-03 14:31:07,17130,,5,,
2D9F,2020-04-03 14:31:12,17130,,5,,
2D9F,2020-04-03 14:31:53,17130,,5,,
2D9F,2020-04-03 14:32:08,17130,,5,,
2D9F,2020-04-03 14:32:18,17130,,5,,
2D9F,2020-04-03 14:32:23,17130,,5,,
2D9F,2020-04-04 03:09:02,17130,,5,,
2D9F,2020-04-04 03:09:38,17130,,5,,
2D9F,2020-04-04 03:09:48,17130,,5,,
2D9F,2020-04-04 03:09:53,17130,,5,,
2D9F,2020-04-04 03:09:58,17130,,5,,
2D9F,2020-04-04 03:10:03,17130,,5,,
2D9F,2020-04-04 03:10:08,17130,,5,,
2D9F,2020-04-04 03:10:18,17130,,5,,
2D9F,2020-04-04 03:10:23,17130,,5,,
2D9F,2020-04-04 03:10:28,17130,,5,,
2D9F,2020-04-04 03:10:33,17130,,5,,
2D9F,2020-04-04 03:10:38,17130,,5,,
2D9F,2020-04-04 03:10:43,17130,,5,,
2D9F,2020-04-04 03:10:48,17130,,5,,
2D9F,2020-04-04 03:10:53,17130,,5,,
2D9F,2020-04-04 03:11:08,17130,,5,,
2D9F,2020-04-04 03:11:13,17130,,5,,
2D9F,2020-04-04 03:11:18,17130,,5,,
2D9F,2020-04-04 03:11:24,17130,,5,,
2D9F,2020-04-04 03:11:29,17130,,5,,
2D9F,2020-04-04 03:11:34,17130,,5,,
2D9F,2020-04-04 03:11:39,17130,,5,,
2D9F,2020-04-04 03:11:44,17130,,5,,
2D9F,2020-04-04 03:11:54,17130,,5,,
